Size, Seq, Par, Libc
100, 0.000010, 0.004024, 0.000013
100, 0.000010, 0.004448, 0.000014
100, 0.000009, 0.003384, 0.000013
100, 0.000010, 0.003738, 0.000012
100, 0.000010, 0.003133, 0.000011
1000, 0.000128, 0.020407, 0.000209
1000, 0.000126, 0.022003, 0.000201
1000, 0.000128, 0.016149, 0.000210
1000, 0.000128, 0.014594, 0.000209
1000, 0.000129, 0.014905, 0.000210
10000, 0.001774, 0.018943, 0.001720
10000, 0.001698, 0.016226, 0.001733
10000, 0.001652, 0.017348, 0.001702
10000, 0.001680, 0.017302, 0.001726
10000, 0.001675, 0.017386, 0.001716
100000, 0.020040, 0.050548, 0.020300
100000, 0.020004, 0.043119, 0.020504
100000, 0.019763, 0.050735, 0.020439
100000, 0.019913, 0.049806, 0.020541
100000, 0.019726, 0.044636, 0.020252
1000000, 0.230648, 0.162221, 0.242869
1000000, 0.235778, 0.162137, 0.241607
1000000, 0.238383, 0.163279, 0.242786
1000000, 0.232921, 0.170237, 0.241583
1000000, 0.230096, 0.153896, 0.242492
